video_id,title,channel_id,channel_name,category_id,category_name,published_at,view_count,like_count,comment_count,duration_seconds,thumbnail_url,tags,fetched_at,region
DMNlzf8PiEM,THE AMAZING DIGITAL CIRCUS - Ep 8: hjsakldfhl,UCn_FAXem2-e3HQvmK-mOH4g,GLITCH,1,Film & Animation,2026-03-20T22:00:06Z,38414989,2955756,346606,1910,https://i.ytimg.com/vi/DMNlzf8PiEM/hqdefault.jpg,"[""glitch"", ""glitch productions"", ""digital circus"", ""the amazing digital circus"", ""murder drones"", ""Pomni"", ""Uzi"", ""Jax"", ""Ragatha"", ""Kinger"", ""Gangle"", ""Zooble"", ""Caine"", ""Bubble"", ""3D"", ""Animation"", ""3D Animation"", ""Indie Animation"", ""Gummigoo""]",2026-03-22T14:57:34.882083+00:00,US
F_nqpHGsc9A,First Drive in My RCR O'Reilly's NASCAR... It's SO FAST!,UCh8f8vssLddD2PbnU3Ag_Bw,Cleetus McFarland,2,Autos & Vehicles,2026-03-20T18:39:22Z,1083251,55554,5336,3916,https://i.ytimg.com/vi/F_nqpHGsc9A/hqdefault.jpg,"[""leroy"", ""1320video"", ""drag racing"", ""boosted"", ""cleetus McFarland"", ""cleetus"", ""McFarland"", ""Leroy"", ""bald eagles"", ""bald eagle machine"", ""1320"", ""modified"", ""boost"", ""turbo"", ""twin turbo"", ""precision turbo"", ""Texas speed"", ""Texas speed and performance"", ""Fasterproms"", ""tuning"", ""tuned"", ""burnout"", ""stick shift"", ""six speed"", ""corvette"", ""Leroy Vette"", ""c5 corvette"", ""Chevrolet"", ""unicorn"", ""c5"", ""supercharging Leroy"", ""turbocharging Leroy"", ""freedom factory"", ""ruby"", ""auction corvette""]",2026-03-22T14:57:36.316395+00:00,US
b4iVv91Z6lY,BTS (방탄소년단) ‘SWIM’ Official MV,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,10,Music,2026-03-20T03:58:06Z,49484541,5303888,841754,245,https://i.ytimg.com/vi/b4iVv91Z6lY/hqdefault.jpg,"[""HYBE"", ""HYBE LABELS"", ""하이브"", ""하이브레이블즈""]",2026-03-22T14:57:37.825701+00:00,US
RBaSiVjtKR4,Body to Body,UC9vrvNSL3xcWGSkV86REBSg,BTS - Topic,10,Music,2026-03-20T04:00:34Z,10861773,961237,47361,190,https://i.ytimg.com/vi/RBaSiVjtKR4/hqdefault.jpg,"[""BTS"", ""방탄소년단"", ""ARIRANG"", ""Body to Body""]",2026-03-22T14:57:37.825701+00:00,US
NqLe3mk__kg,Coi Leray - Better Than Yours (Official Music Video) ft. Youngboy Never Broke Again,UCuXs46X66-EJuKgUduHQwAw,CoiLerayVEVO,10,Music,2026-03-20T04:00:23Z,970282,59341,3707,184,https://i.ytimg.com/vi/NqLe3mk__kg/hqdefault.jpg,"[""Trippie Redd"", ""Rod Wave"", ""Doja Cat"", ""Cash Cobain"", ""Coi Leray"", ""Better Than Yours"", ""Coi Leray feat. YoungBoy Never Broke Again""]",2026-03-22T14:57:37.825701+00:00,US
QWDayFgPDjQ,FYA,UC9vrvNSL3xcWGSkV86REBSg,BTS - Topic,10,Music,2026-03-20T04:00:28Z,5621434,494317,21181,181,https://i.ytimg.com/vi/QWDayFgPDjQ/hqdefault.jpg,"[""BTS"", ""방탄소년단"", ""ARIRANG"", ""FYA""]",2026-03-22T14:57:37.825701+00:00,US
l8sSQAa1kNM,"Hyunjin ""LOVER"" Video",UC9rMiEjNaCSsebs31MRDCRA,Stray Kids,10,Music,2026-03-19T15:00:08Z,3259333,617023,48814,188,https://i.ytimg.com/vi/l8sSQAa1kNM/hqdefault.jpg,"[""JYP Entertainment"", ""JYP"", ""Stray Kids"", ""스트레이 키즈"", ""SKZ"", ""스키즈"", ""방찬"", ""BANG CHAN"", ""리노"", ""LEE KNOW"", ""창빈"", ""CHANGBIN"", ""현진"", ""황현진"", ""HYUNJIN"", ""한"", ""한지성"", ""HAN"", ""필릭스"", ""FELIX"", ""용복"", ""승민"", ""김승민"", ""SEUNGMIN"", ""아이엔"", ""I.N"", ""현진 러버"", ""러버"", ""LOVER"", ""Hyunjin LOVER"", ""현진 LOVER"", ""스트레이 키즈 현진 러버"", ""스키즈 현진 러버"", ""SKZ Hyunjin LOVER"", ""Stray Kids Hyunjin LOVER"", ""황현진 러버"", ""황현진 LOVER"", ""현진 작사"", ""현진 작곡"", ""스키즈 현진 작사"", ""스키즈 현진 작곡"", ""Hyunjin vocal"", ""현진 보컬"", ""현진 노래"", ""스키즈 자작곡"", ""스트레이키즈 자작곡"", ""황현진 작사"", ""황현진 작곡"", ""황현진 보컬"", ""현진 자작곡"", ""스키즈 현진 자작곡"", ""스트레이 키즈 현진 자작곡"", ""Hyunjin song""]",2026-03-22T14:57:37.825701+00:00,US
GcULiEtlGwo,"Rick Ross, French Montana, Max B - Minks In Miami (Official Music Video)",UCHO1BdBZw927UtUGhxYOGwA,Rick Ro$$,10,Music,2026-03-20T16:00:06Z,464180,25748,2796,184,https://i.ytimg.com/vi/GcULiEtlGwo/hqdefault.jpg,[],2026-03-22T14:57:37.825701+00:00,US
PqGOGvv-X5U,Hurricane Wisdom - LIVING UP (Official Music Video),UC-tAx6tWF3x-7COrjnpV4Zg,Hurricane Wisdom,10,Music,2026-03-20T04:00:06Z,365233,24866,1531,191,https://i.ytimg.com/vi/PqGOGvv-X5U/hqdefault.jpg,"[""hurricane wisdom"", ""hurricane wisdom music"", ""hurricane wisdom music videos"", ""lil hurricane"", ""hurricane wisdom better"", ""hurricane wisdom state of emergency"", ""category 5 mixtape"", ""hurricane season"", ""rod wave"", ""rod wave music"", ""broken hearts"", ""lil durk"", ""florida rappers"", ""hotboii"", ""kodak black"", ""hip hop"", ""hip hop music videos"", ""rap music"", ""rap"", ""rylo rodriguez"", ""nocap"", ""toosii"", ""hunxho"", ""real me"", ""honey mustard"", ""nigeria"", ""afrobeats"", ""burnaboy"", ""wizkid"", ""asake"", ""lagos"", ""southafrica"", ""rapper"", ""music video"", ""tems"", ""ayra starr""]",2026-03-22T14:57:37.825701+00:00,US
GCLD72wDLLU,Te Felicito,UCgzNzuxlQ6QLlQfUHfr_oEw,Gerardo Coronel - Topic,10,Music,2026-03-18T19:13:59Z,943182,5709,30,225,https://i.ytimg.com/vi/GCLD72wDLLU/hqdefault.jpg,"[""Gerardo Coronel"", ""Te Felicito""]",2026-03-22T14:57:37.825701+00:00,US
AhSEA30GSOw,Ozuna - Una Aventura (Video Oficial),UCjIA3wwhi0QjSOXAZwOXbPA,Ozuna,10,Music,2026-03-12T15:00:18Z,10392815,121088,6105,190,https://i.ytimg.com/vi/AhSEA30GSOw/hqdefault.jpg,"[""Reggaeton music"", ""musica"", ""reggaeton"", ""top reggaeton hits"", ""Ozuna"", ""El negrito ojos claro"", ""nuevo reggaeton"", ""ozuna musica"", ""ozuna hits"", ""musica nueva"", ""ozuna"", ""urbano latino"", ""audio official"", ""Ozutochi"", ""Nuevo Album"", ""COSMO"", ""OZUNA"", ""nuevo de Ozuna"", ""official video"", ""New music""]",2026-03-22T14:57:37.825701+00:00,US
MSMEkmOjDb4,T-Pain - Bartender (Lyrics) ft. Akon,UCeCz-fcRpcsHhhZuSe_Z0AQ,Afterglow,10,Music,2026-03-10T16:32:46Z,1216129,2144,16,242,https://i.ytimg.com/vi/MSMEkmOjDb4/hqdefault.jpg,"[""bartender akon"", ""akon"", ""bartender lyrics akon"", ""bartender akon lyrics"", ""bartender"", ""akon bartender lyrics"", ""t pain lyrics bartender"", ""akon bartender"", ""t pain bartender ft. akon lyrics"", ""t pain akon bartender"", ""bartender lyrics"", ""bartender song"", ""she made us brinks to drink we drank them"", ""lyrics"", ""R&B"", ""afterglow""]",2026-03-22T14:57:37.825701+00:00,US
7OozkMW4i-Q,Big Boogie - Shut Up,UCvoNKJFWRdM-Sn7kwLb-m0A,BigBoogieVEVO,10,Music,2026-03-17T17:00:14Z,315871,9184,282,227,https://i.ytimg.com/vi/7OozkMW4i-Q/hqdefault.jpg,"[""Big Boogie"", ""Hitmaker Music Group"", ""Hip-Hop""]",2026-03-22T14:57:37.825701+00:00,US
