video_id,title,channel_id,channel_name,category_id,category_name,published_at,view_count,like_count,comment_count,duration_seconds,thumbnail_url,tags,fetched_at,region
kPjOxHdp3OI,Chao Antigravity! Claude Code ahora es GRATIS y SIN Límites (Ollama) 💣,UCxcDzs-4quJV4QsairlFYNg,Alejavi Rivera,custom_LLM,LLM,2026-03-19T18:01:01Z,145373,6141,283,1730,https://i.ytimg.com/vi/kPjOxHdp3OI/hqdefault.jpg,"[""google antigravity"", ""claude code"", ""agentes ia"", ""automatizar"", ""no-code"", ""apps"", ""ollama"", ""ia en local"", ""qwen 3.5"", ""nano banana""]",2026-03-26T12:44:58.821793+00:00,US
zGzg0OnqQrk,Google Just Dropped New Antigravity AI and It Puts Heat on OpenAI,UC5l7RouTQ60oUjLjt1Nh-UQ,AI Revolution,custom_LLM,LLM,2026-03-20T23:12:04Z,61861,1215,72,614,https://i.ytimg.com/vi/zGzg0OnqQrk/hqdefault.jpg,"[""AI News"", ""AI Updates"", ""AI Revolution"", ""AI"", ""ai news"", ""artificial intelligence"", ""google ai"", ""google antigravity"", ""antigravity ai"", ""google ai studio"", ""gemini"", ""gemini mac app"", ""google colab"", ""colab mcp server"", ""ai coding agent"", ""app building ai"", ""vibe coding"", ""google ai tools"", ""ai app builder"", ""ai software tools"", ""machine learning news"", ""google updates"", ""ai agents"", ""gemini update""]",2026-03-26T12:44:58.821793+00:00,US
n-VwC4-BfTM,ChatGPT vs Gemini vs Claude Make Clash Royale From Scratch,UC3nKTPXh9DE0Md3HvCPB7sw,tef,custom_LLM,LLM,2026-03-21T20:53:53Z,41879,2128,187,619,https://i.ytimg.com/vi/n-VwC4-BfTM/hqdefault.jpg,"[""chatgpt vs gemini"", ""chatgpt vs gemini vs claude"", ""chatgpt 5.4 vs gemini 3.1 vs claude 4.6"", ""chatgpt vs gemini vs claude make clash royale"", ""clash royale"", ""how to make clash royale"", ""chatgpt vs gemini fortnite"", ""chatgpt vs gemini minecraft"", ""chatgpt vs grok minecraft"", ""tef"", ""ai makes games"", ""chatgpt vs gemini vs claude make clash royale from scratch"", ""new clash royale update""]",2026-03-26T12:44:58.821793+00:00,US
aXZGaOpRVoQ,【3分で完了】Google最強AI NotebookLMとClaudeの神連携パワポ・スライド資料作成が神すぎた！,UCCIPlDofGZVef3HArQBRrEw,【さき】のAIでええやん。,custom_LLM,LLM,2026-03-22T09:00:01Z,30159,764,20,1814,https://i.ytimg.com/vi/aXZGaOpRVoQ/hqdefault.jpg,"[""ChatGPT"", ""AI活用"", ""Gemini"", ""Claude"", ""AI"", ""業務効率化"", ""時短"", ""ai""]",2026-03-26T12:44:58.821793+00:00,US
aC0SJMsCC-s,Stop Using Cursor & Google AI Tools — Code Unlimited for Free in VS Code,UCc8jaDgZqxLXliXwkArLSvg,Ai Tricker,custom_LLM,LLM,2026-03-20T12:11:21Z,24411,1035,172,963,https://i.ytimg.com/vi/aC0SJMsCC-s/hqdefault.jpg,"[""VS Code AI coding"", ""free AI coding tools 2026"", ""Cursor alternative free"", ""Google AI IDE alternative"", ""Agent Router VS Code setup"", ""DeepSeek R1 coding"", ""Claude API free coding"", ""build SaaS with AI free""]",2026-03-26T12:44:58.821793+00:00,US
ILMQu9NGQEI,Anthropic Made a Safer OpenClaw & More AI News You Can Use,UCHhYXsLBEVVnbvsq57n1MTQ,The AI Advantage,custom_LLM,LLM,2026-03-20T17:37:32Z,20826,774,37,1040,https://i.ytimg.com/vi/ILMQu9NGQEI/hqdefault.jpg,"[""theaiadvantage"", ""aiadvantage"", ""chatgpt"", ""ai"", ""artificial intelligence"", ""openai"", ""ai advantage"", ""igor"", ""igor pogany"", ""gpt5"", ""gpt-5"", ""google"", ""xai"", ""grok"", ""microsoft"", ""claude"", ""anthropic""]",2026-03-26T12:44:58.821793+00:00,US
I-4cJgqF_JY,NotebookLM Agent Skills: Build POWERFUL Claude AI Agents for ANYTHING!,UCYwLV1gDwzGbg7jXQ52bVnQ,Universe of AI,custom_LLM,LLM,2026-03-23T23:32:27Z,18316,693,15,907,https://i.ytimg.com/vi/I-4cJgqF_JY/hqdefault.jpg,"[""NotebookLM"", ""NotebookLM Deep Research"", ""NotebookLM tutorial"", ""NotebookLM 2026"", ""Claude AI"", ""Claude AI tutorial"", ""Claude Skills"", ""Claude Agent Skills"", ""Claude Code"", ""Claude Projects"", ""Anthropic Claude"", ""AI Agents"", ""AI Agent Workflow"", ""Build AI Agents"", ""AI Workflow"", ""AI Automation"", ""AI Productivity"", ""AI Tools 2026"", ""AI Tools"", ""Google NotebookLM"", ""Deep Research"", ""Deep Research AI"", ""AI Skills"", ""AI for Business"", ""AI Workflow Tutorial"", ""ChatGPT Alternative"", ""Gemini AI"", ""Google AI""]",2026-03-26T12:44:58.821793+00:00,US
CJ3qQw9Rgko,Kranke KI-Revolution: Dieses neue Tool verändert ALLES,UCcQz40FwO1qaePDQ5RRzlcw,Neulandpro,custom_LLM,LLM,2026-03-21T09:21:30Z,14553,539,42,978,https://i.ytimg.com/vi/CJ3qQw9Rgko/hqdefault.jpg,"[""neulandpro"", ""ki news"", ""ai news"", ""ki"", ""künstliche intelligenz"", ""ki news der woche"", ""deutsch"", ""ki news deutsch"", ""ai news deutsch"", ""update"", ""ai tools"", ""ki tools"", ""beste ki tools"", ""2025"", ""KI News"", ""künstliche Intelligenz"", ""AI News"", ""ChatGPT News"", ""OpenAI News"", ""Google Gemini"", ""KI Tools"", ""AI Tools"", ""Nvidia AI"", ""KI Agenten"", ""AI Agents"", ""KI Workflow"", ""AI Workflow"", ""AI Automation"", ""Tech News"", ""KI Deutschland"", ""Mistral AI"", ""Claude AI"", ""AI Video Tools"", ""Robotik KI"", ""KI Zukunft"", ""AI Innovation"", ""KI Business""]",2026-03-26T12:44:58.821793+00:00,US
INXY8x_cy-s,"НОВИНИ AI: Готові взяти AI-КОЛЕГУ на роботу? OpenAI, Anthropic та Nvidia здивували!",UCy3bfnqKyMGc6S5o4y4nPmg,Igor Matrofailo,custom_LLM,LLM,2026-03-22T08:00:00Z,13388,819,62,1588,https://i.ytimg.com/vi/INXY8x_cy-s/hqdefault.jpg,"[""imatrof"", ""100секундпроші"", ""штучнийінтелект"", ""штучно_інтелектуальні_історії"", ""історії"", ""новини"", ""ChatGPT"", ""DALLE 3"", ""Midjourney"", ""OpenAI"", ""Microsoft"", ""Stargate"", ""Google"", ""Amazon"", ""Tesla"", ""Штучний Інтелект по-українськи"", ""Продуктивність"", ""GPT Store"", ""GPTs"", ""новини сьогодні"", ""ші історії"", ""nvidia""]",2026-03-26T12:44:58.821793+00:00,US
kNtjAqyWa4A,Gemini 4 Explained: Google’s Biggest AI Leap (Not AGI Yet),UCGIiO6Uo8V8vkuLOcFvf3ZQ,BitBiasedAI,custom_LLM,LLM,2026-03-19T18:33:16Z,8700,246,5,1099,https://i.ytimg.com/vi/kNtjAqyWa4A/hqdefault.jpg,"[""Gemini 4"", ""Google Gemini 4"", ""Gemini 4 explained"", ""Gemini 4 AI"", ""Google AI"", ""Gemini AI"", ""Gemini 4 vs GPT 5.2"", ""Gemini 4 vs Claude"", ""Gemini 4 benchmark"", ""Gemini 4 AGI"", ""is Gemini 4 AGI"", ""Google biggest AI leap"", ""Google next AI model"", ""Google AI model 2026"", ""Gemini 4 leaks"", ""Gemini 4 architecture"", ""Gemini 4 multimodal"", ""Gemini 4 context window"", ""Gemini 4 deep think"", ""Gemini 4 agentic AI"", ""Gemini 4 planning"", ""Gemini 4 reasoning"", ""Gemini 4 coding"", ""Gemini 4 capabilities"", ""Gemini 4 limitations""]",2026-03-26T12:44:58.821793+00:00,US
